Old Ref ID,Ref ID,Record Last Updated (dd/mm/yyyy),Operator (or Applicant),Site Name,Technology Type,Installed Capacity (MWelec),CHP Enabled,RO Banding (ROC/MWh),FiT Tariff (p/kWh),CfD Capacity (MW),Turbine Capacity (MW),No. of Turbines,Height of Turbines (m),Mounting Type for Solar,Development Status,Development Status (short),Address,County,Region,Country,Post Code,X-coordinate,Y-coordinate,Planning Authority,Planning Application Reference,Appeal Reference,Secretary of State Reference,Type of Secretary of State Intervention,Judicial Review,Offshore Wind Round,Planning Application Submitted,Planning Application Withdrawn,Planning Permission Refused,Appeal Lodged,Appeal Withdrawn,Appeal Refused,Appeal Granted,Planning Permission Granted,Secretary of State - Intervened,Secretary of State - Refusal,Secretary of State - Granted,Planning Permission Expired,Under Construction,Operational
N00053B,1,07/07/2009,RWE npower,Aberthaw Power Station Biomass,Biomass (co-firing),35,No,,,,n/a,n/a,n/a,n/a,Operational,Operational,"Aberthaw Power Station, The Leys, Aberthaw Barry, Vale of Glamorgan",South Glamorgan,Wales,Wales,CF62 4ZW,"302,219","166,320",Vale of Glamorgan Council,04/00580/FUL,,,,,,16/04/2004,,,,,,,03/09/2004,,,,,01/05/2006,01/05/2007
100640000,8,23/12/2003,Mr Grffiths,Newbridge Power Station,Biomass (dedicated),15,No,,,,n/a,n/a,n/a,n/a,Planning Application Withdrawn,Application Withdrawn,"Land adjacent to BSW Sawmills, Newbridge on Wye, Powys",Powys,Wales,Wales,,"302,400","256,000",Powys County Council,PR5332/02,,,,,,,23/12/2003,,,,,,,,,,,,
EN00118,32,29/06/2011,Green Renewable Energy Company,Clean Renewable Plant at Old Llynfi Power Station,Biomass (dedicated),10,No,,,,n/a,n/a,n/a,n/a,Abandoned,Abandoned,"Old Llynfi Power Station, Aberkenfig, Bridgend",Mid Glamorgan,Wales,Wales,,"288,400","186,900",Bridgend County Borough Council,05/364/FUL,,,,,,28/03/2005,,,,,,,16/02/2006,,,,,,
EN00601,43,12/09/2011,Dingle Holdings,Kings Dock Biomass,Biomass (dedicated),49.9,No,,,,n/a,n/a,n/a,n/a,Appeal Refused,Application Refused,"Kings Dock, Swansea",West Glamorgan,Wales,Wales,SA1 8QT,"267,902","192,506",City and County Council of Swansea,2007/2684,APP/B6855/A/09/2111230,,,,,27/11/2007,,06/04/2009,,,14/12/2010,,,,,,,,
N00052B,57,29/06/2011,"Western Bioenergy, affiliate of Western Log",Western Wood Energy Plant,Biomass (dedicated),14,Yes,,,,n/a,n/a,n/a,n/a,Operational,Operational,"Longlands Lane, Margam, nr junction 38 of the M4.",West Glamorgan,Wales,Wales,,"277,930","186,880",Neath Port Talbot County Borough Council,P2004/0035,,,,,,09/01/2004,,,,,,,27/04/2004,,,,,01/11/2006,01/11/2009
AA194,109,24/02/2014,Bioflame,Cardiff Dock Heat and Power,Biomass (dedicated),2.5,Yes,,,,n/a,n/a,n/a,n/a,Abandoned,Abandoned,"Cold Stores Road, Queen Alexandra Dock",South Glamorgan,Wales,Wales,,"320,241","174,279",Cardiff Council,08/02653/C,,,,,,04/12/2008,,,,,,,06/02/2009,,,,,,
AA379,113,27/01/2017,Glennmont Partners,Margam Green Energy Plant,Biomass (dedicated),40,No,,,,n/a,n/a,n/a,n/a,Under Construction,Under Construction,"Longlands Lane, Margam, Port Talbot",West Glamorgan,Wales,Wales,,"278,940","186,385",Neath Port Talbot County Borough Council,P2008/1409,APP/Y6930/A/10/2135473/WF,,,,,13/11/2008,,16/03/2010,,,,08/03/2011,08/03/2011,,,,,15/02/2015,
AA789,120,26/04/2017,Enviroparks Operations,Enviroparks Hirwaun Generation Site,Advanced Conversion Technologies,20,No,,,11,n/a,n/a,n/a,n/a,Under Construction,Under Construction,"Fifth Avenue, Hirwaun Industrial Estate, Hirwaun, Aberdare, Mid-Glamorgan ",Powys,Wales,Wales,CF44 9YN,"293,857","206,832",Brecon Beacons National Park Authority,08/02488/FUL,,,,,,19/12/2008,,,,,,,21/12/2010,,,,,18/02/2016,
B0305,126,03/01/2014,Kronospan,Kronospan Biomass,Biomass (dedicated),9.1,Yes,,,,n/a,n/a,n/a,n/a,Abandoned,Abandoned,"Holyhead Road, Chirk, Wrexham",Clwyd,Wales,Wales,LL14 5NT,"328,595","338,816",Wrexham County Borough Council,P/2012/0165,,,,,,05/03/2012,,,,,,,14/09/2012,,,,,,
EN00478,141,21/06/2017,Orthios Group ,Port Talbot Renewable Energy Plant,Biomass (dedicated),350,Yes,,,,n/a,n/a,n/a,n/a,Planning Permission Granted,Awaiting Construction,Port Talbot,West Glamorgan,Wales,Wales,,"276,305","189,045",DECC (S36),n/a,,,,,,23/10/2006,,,,,,,21/11/2007,,,,,,
