COU,Country,Variable,Year,Unit,PowerCode,Value
WAL,Wales,Total GHG per capita,2000,Kilograms per capita,Thousands,20.1
WAL,Wales,Total GHG per capita,2001,Kilograms per capita,Thousands,18.908
WAL,Wales,Total GHG per capita,2004,Kilograms per capita,Thousands,17.862
WAL,Wales,Total GHG per capita,2006,Kilograms per capita,Thousands,17.535
WAL,Wales,Total GHG per capita,2005,Kilograms per capita,Thousands,17.113
WAL,Wales,Total GHG per capita,2003,Kilograms per capita,Thousands,16.817
WAL,Wales,Total GHG per capita,2008,Kilograms per capita,Thousands,16.777
WAL,Wales,Total GHG per capita,2013,Kilograms per capita,Thousands,16.544
WAL,Wales,Total GHG per capita,2002,Kilograms per capita,Thousands,16.523
WAL,Wales,Total GHG per capita,2007,Kilograms per capita,Thousands,16.397
WAL,Wales,Total GHG per capita,2010,Kilograms per capita,Thousands,15.553
WAL,Wales,Total GHG per capita,2012,Kilograms per capita,Thousands,15.074
WAL,Wales,Total GHG per capita,2014,Kilograms per capita,Thousands,15.062
WAL,Wales,Total GHG per capita,2015,Kilograms per capita,Thousands,14.856
WAL,Wales,Total GHG per capita,2009,Kilograms per capita,Thousands,14.597
WAL,Wales,Total GHG per capita,2011,Kilograms per capita,Thousands,14.451
USA,United States,Total GHG per capita,2000,Kilograms per capita,Thousands,25.566
USA,United States,Total GHG per capita,2004,Kilograms per capita,Thousands,24.947
USA,United States,Total GHG per capita,2001,Kilograms per capita,Thousands,24.898
USA,United States,Total GHG per capita,2002,Kilograms per capita,Thousands,24.793
USA,United States,Total GHG per capita,2005,Kilograms per capita,Thousands,24.747
USA,United States,Total GHG per capita,2003,Kilograms per capita,Thousands,24.72
USA,United States,Total GHG per capita,2007,Kilograms per capita,Thousands,24.397
USA,United States,Total GHG per capita,2006,Kilograms per capita,Thousands,24.286
USA,United States,Total GHG per capita,2008,Kilograms per capita,Thousands,23.497
USA,United States,Total GHG per capita,2010,Kilograms per capita,Thousands,22.387
USA,United States,Total GHG per capita,2009,Kilograms per capita,Thousands,21.841
USA,United States,Total GHG per capita,2011,Kilograms per capita,Thousands,21.74
USA,United States,Total GHG per capita,2014,Kilograms per capita,Thousands,21.137
USA,United States,Total GHG per capita,2013,Kilograms per capita,Thousands,21.106
USA,United States,Total GHG per capita,2012,Kilograms per capita,Thousands,20.815
USA,United States,Total GHG per capita,2015,Kilograms per capita,Thousands,20.496
GBR,United Kingdom,Total GHG per capita,2001,Kilograms per capita,Thousands,12.12
GBR,United Kingdom,Total GHG per capita,2000,Kilograms per capita,Thousands,12.109
GBR,United Kingdom,Total GHG per capita,2003,Kilograms per capita,Thousands,11.961
GBR,United Kingdom,Total GHG per capita,2002,Kilograms per capita,Thousands,11.893
GBR,United Kingdom,Total GHG per capita,2004,Kilograms per capita,Thousands,11.846
GBR,United Kingdom,Total GHG per capita,2005,Kilograms per capita,Thousands,11.628
GBR,United Kingdom,Total GHG per capita,2006,Kilograms per capita,Thousands,11.466
GBR,United Kingdom,Total GHG per capita,2007,Kilograms per capita,Thousands,11.186
